id,nombre,precio,categoria,activo,emoji,img
1,Promo Franui + Alfajor Barrigón,12100,promos,SI,🔥,
2,Promo Franui x3,23500,promos,SI,🔥,
3,Promo Franui + Block,12600,promos,SI,🔥,
4,Promo Dos Marcianos,3900,promos,SI,🚀,
5,Blockazo 1KG,40000,promos,SI,🍫,
6,Mogul Moras 80gr,3000,golosinas,SI,🐻,img/mogul-moras.png
7,Mogul Extreme ácido-dulce,3000,golosinas,SI,🐻,
8,Mogul Eucaliptus 80gr,3100,golosinas,SI,🐻,
9,Mogul Tubitos,1800,golosinas,SI,🍬,
10,Rollo Mogul,2000,golosinas,SI,🍬,
11,Gomitas Mogul,1700,golosinas,SI,🐻,
12,Mentiras Felfort,1800,golosinas,SI,🍬,
13,Cadbury de Frutilla 162gr,12800,golosinas,SI,🍫,
14,Alfajor Guaymallén,1500,golosinas,SI,🍫,
15,Tita,2100,golosinas,SI,🍫,
16,Snickers Importados,4900,golosinas,SI,🍫,
17,Tableta Bon o Bon 48g,3500,golosinas,SI,🍫,
18,Tableta Bon o Bon 160gr,9500,golosinas,SI,🍫,
19,Alfajor Pepito Triple,2900,golosinas,SI,🍫,
20,Milka Importado 100g,12900,golosinas,SI,🍫,
21,Milka Super,3500,golosinas,SI,🍫,
22,Milka Blanco Relleno DDL 67g,5600,golosinas,SI,🍫,
23,Alfajor Goat,3300,golosinas,SI,🍫,
24,Alfajor Milka Mousse Triple,2800,golosinas,SI,🍫,
25,Maná Rellenas,3100,golosinas,SI,🍪,
26,Barrigón Mega Negro,3300,golosinas,SI,🍫,
27,Barrigón Rosa,3100,golosinas,SI,🍫,
28,Barrigón Frutilla,3300,golosinas,SI,🍫,
29,Alfajor Barrigón Mega Brownie,3300,golosinas,SI,🍫,
30,Alfajor Alma de Campeón Negro,3100,golosinas,SI,🍫,
31,Gomitas 360 Uva,2500,golosinas,SI,🐻,
32,Gomitas 360 Ositos Surtidos,2500,golosinas,SI,🐻,
33,Turrón Misky,1200,golosinas,SI,🍬,
34,Mr Beast Feastables,18000,golosinas,SI,🍫,
35,Oblea Bon o Bon,2300,golosinas,SI,🍫,
36,Bon o Bon Supreme Avellanas,2200,golosinas,SI,🍫,
37,Bon o Bon x3,2800,golosinas,SI,🍫,
38,Alfajor Bon o Bon,2300,golosinas,SI,🍫,
39,Kit Kat,3500,golosinas,SI,🍫,
40,Chocolate Shot 35gr,3000,golosinas,SI,🍫,
41,Chocolate Arcor 25g,2400,golosinas,SI,🍫,
42,Mantecol 41g,2600,golosinas,SI,🥜,
43,Almohadita Mantecol,5800,golosinas,SI,🥜,
44,Alfajor Mantecol,2600,golosinas,SI,🥜,
45,Alfajor Jorgelín,2400,golosinas,SI,🍫,
46,Alfajor Jorgito Negro,2400,golosinas,SI,🍫,
47,Ferrero Rocher x8,15900,golosinas,SI,🍫,
48,Ferrero Rocher 8u 100g,16500,golosinas,SI,🍫,
49,Caja Ferrero Rocher 100gr,16500,golosinas,SI,🍫,
50,Rastas,3300,golosinas,SI,🍫,
51,Rasta Trico Maicena,3300,golosinas,SI,🍪,
52,Rasta Argéntrico,3500,golosinas,SI,🍫,
53,Cofler Bañadas,5600,golosinas,SI,🍫,
54,Cofler Air 27gr,3300,golosinas,SI,🍫,
55,Cofler Aireado 27g,3600,golosinas,SI,🍫,
56,Blupper Chicle Metro,4000,golosinas,SI,🫧,
57,Kinder Joy,4500,golosinas,SI,🥚,
58,Kinder Bueno,5200,golosinas,SI,🍫,
59,Kinder Barritas x4,5800,golosinas,SI,🍫,
60,Kinder 4,5500,golosinas,SI,🍫,
61,Nerds,6900,golosinas,SI,🌈,
62,Rocklets 20g,2000,golosinas,SI,🔴,
63,Rocklets Extreme 20g,2100,golosinas,SI,🔴,
64,Alfajor Hamblet,1600,golosinas,SI,🍫,
65,Alfajor Águila,2800,golosinas,SI,🍫,
66,Águila Barrita 14g,2000,golosinas,SI,🍫,
67,Alfajor Pescado Raúl Negro,2300,golosinas,SI,🍫,
68,Alfajor Shot x3,2600,golosinas,SI,🍫,
69,Oreo 118g,3300,golosinas,SI,🍪,
70,Mini Oreo,2500,golosinas,SI,🍪,
71,Oreo de Menta,3900,golosinas,SI,🍪,
72,Alfajor Oreo Triple,3200,golosinas,SI,🍪,
73,Postre Oreo,3500,golosinas,SI,🍮,
74,Postre Chocotorta,3500,golosinas,SI,🍮,
75,Franui sin Azúcar,8800,golosinas,SI,🫐,
76,Franui Chocolate con Leche,8800,golosinas,SI,🫐,
77,Capitán del Espacio,2800,golosinas,SI,🚀,
78,Llavero Bananita Bebe,5000,golosinas,SI,🍌,
79,Tic Tac,2600,golosinas,SI,🟢,img/tictac.png
80,Frutas Infieles,11000,golosinas,SI,🍓,
81,Mini Pepitos,2500,golosinas,SI,🍪,
82,Doritos 40g,4300,snacks,SI,🔺,
83,Saladix Caja,3500,snacks,SI,🥨,
84,Saladix Cross,2400,snacks,SI,🥨,
85,Cheetos Originales 85gr,5800,snacks,SI,🧀,
86,Lays 40g,2800,snacks,SI,🥔,
87,Lays 85g,5300,snacks,SI,🥔,
88,Lays Importadas,7000,snacks,SI,🥔,
89,Takis Fuego,3300,snacks,SI,🌶️,
90,Takis Original,4500,snacks,SI,🌶️,
91,Dorilocos,9500,snacks,SI,🔺,
92,Quento Papas,4000,snacks,SI,🥔,
93,Porteñitas x3,5800,snacks,SI,🥨,
94,Club Social 24g,1700,snacks,SI,🍘,
95,Traviata Rex y Kesitas,2800,snacks,SI,🍘,img/traviata-rex.png
96,Traviata 108g,2000,snacks,SI,🍘,
97,Rex Caja,3800,snacks,SI,🍘,
98,Galletitas Mellizas,3000,snacks,SI,🍪,
99,Cerealitas,3500,snacks,SI,🍪,
100,9 de Oro Clásicas,2000,snacks,SI,🍪,
101,Leonachos,3500,snacks,SI,🦁,img/leonachos.png
102,Don Satur Bizcocho,1700,snacks,SI,🍘,
103,Monster Mango Loco,5100,bebidas,SI,⚡,img/monster-mango.png
104,Coca y Fanta 250ml,2500,bebidas,SI,🥤,
105,Sprite 500ml,3200,bebidas,SI,💚,
106,Sprite Lata,3200,bebidas,SI,💚,
107,Baggio 1L,4000,bebidas,SI,🧃,
108,Baggio Multifruta 200ml,1500,bebidas,SI,🧃,
109,Enerwin Ed. Limitada,7900,bebidas,SI,⚡,
110,Paso de los Toros 500ml,3300,bebidas,SI,🥤,
111,Speed Chico,3100,bebidas,SI,⚡,
112,Placer 500ml,1800,bebidas,SI,🥤,
113,Vaso de Hielo,2600,bebidas,SI,🧊,
114,Pancho Simple,2900,comida,SI,🌭,
115,Pancho Triple,4800,comida,SI,🌭,
116,Pancho Pringles,5000,comida,SI,🌭,
117,Pancho Therian,5200,comida,SI,🌭,
118,Sándwich de Miga x3,5000,comida,SI,🥪,
119,Pizza Individual Muzza/Queso,4000,comida,SI,🍕,
120,Medialunas Rellenas JyQ,5000,comida,SI,🥐,
121,Viandas Saludables,8000,comida,SI,🍱,
122,Polenta Presto Pronta,2800,almacen,SI,🌽,
123,Matarazzo Dedalitos,3000,almacen,SI,🍝,
124,Aceite Cocinero,5500,almacen,SI,🫙,
125,Fideos Don Vicente,4500,almacen,SI,🍝,
126,Taragüí Mate Listo,5500,almacen,SI,🧉,
127,Azúcar Canella,2500,almacen,SI,🧂,
128,Puré de Tomates,2000,almacen,SI,🍅,
129,Mayonesa (Liviana/Hellmanns),3000,almacen,SI,🥫,
130,Arroz Gallo Oro,2500,almacen,SI,🍚,
131,Red Point x20,3200,cigarrillos,SI,🚬,
132,Philip Morris Mentolado x10,4700,cigarrillos,SI,🚬,
133,Chester Mentolado x10,4400,cigarrillos,SI,🚬,
134,Milenio Mentolado x20,3600,cigarrillos,SI,🚬,
